Tỉnh thành,Ca nhiễm,Đang điều trị,Hồi phục,Tử vong
"30 tỉnh, thành",324,60,264,0
Hà Nội,114,4,110,0
TP. Hồ Chí Minh,58,4,54,0
Thái Bình,29,27,2,0
Bạc Liêu,21,18,3,0
Vĩnh Phúc,19,0,19,0
Ninh Bình,13,0,13,0
Bình Thuận,9,0,9,0
Quảng Ninh,8,3,5,0
Đà Nẵng,6,0,6,0
Đồng Tháp,5,1,4,0
Bắc Giang,4,0,4,0
Hà Nam,4,1,3,0
Hà Tĩnh,4,0,4,0
Tây Ninh,4,1,3,0
Quảng Nam,3,0,3,0
Thanh Hóa,3,0,3,0
Cần Thơ,2,0,2,0
Hải Dương,2,1,1,0
Lào Cai,2,0,2,0
Ninh Thuận,2,0,2,0
Thừa Thiên - Huế,2,0,2,0
Trà Vinh,2,0,2,0
Bắc Ninh,1,0,1,0
Bến Tre,1,0,1,0
Đồng Nai,1,0,1,0
Hà Giang,1,0,1,0
Hưng Yên,1,0,1,0
Khánh Hòa,1,0,1,0
Lai Châu,1,0,1,0
Thái Nguyên,1,0,1,0
